Date,AAPL,AMZN,BAC,CAT,CVX,DUK,GLD,JNJ,JPM,KO,MCD,MSFT,NEE,NVDA,PFE,PG,TLT,UNH,WMT,XOM
2015-01-02,24.171764373779297,15.425999641418457,13.979470252990723,68.89934539794922,68.30224609375,52.00133514404297,114.08000183105469,75.73738098144531,46.06679153442383,29.21592903137207,69.31180572509766,39.60719299316406,19.605072021484375,0.48188382387161255,17.771636962890625,65.06999969482422,91.93521881103516,82.84259033203125,23.072311401367188,56.777915954589844
2015-01-05,23.490798950195312,15.10949993133545,13.573366165161133,65.26239013671875,65.57209777832031,51.252708435058594,115.80000305175781,75.20841217041016,44.636634826660156,29.21592903137207,68.54627227783203,39.24296569824219,19.39742660522461,0.4737446904182434,17.675199508666992,64.7606430053711,93.37940216064453,81.47804260253906,23.00516128540039,55.22435760498047
2015-01-06,23.493003845214844,14.76449966430664,13.167256355285645,64.84245300292969,65.54175567626953,52.09413528442383,117.12000274658203,74.83880615234375,43.479251861572266,29.437780380249023,68.6726303100586,38.66697311401367,19.4727725982666,0.45938146114349365,17.82268714904785,64.46560668945312,95.0618667602539,81.31366729736328,23.18242835998535,54.9307746887207
2015-01-07,23.822431564331055,14.920999526977539,13.229736328125,65.84729766845703,65.48716735839844,52.26117706298828,116.43000030517578,76.49097442626953,43.54560852050781,29.805240631103516,69.86920928955078,39.15825653076172,19.651012420654297,0.4581846594810486,18.066600799560547,64.80379486083984,94.8741226196289,82.14388275146484,23.797510147094727,55.48737716674805
2015-01-08,24.737743377685547,15.02299976348877,13.503076553344727,66.52220916748047,66.98572540283203,52.4715461730957,115.94000244140625,77.0924072265625,44.5186882019043,30.16575050354004,70.12934112548828,40.31022644042969,19.770456314086914,0.47542035579681396,18.435302734375,65.54486083984375,93.61766815185547,86.06488037109375,24.299793243408203,56.41091537475586
2015-01-09,24.7642765045166,14.846500396728516,13.260969161987305,65.72733306884766,65.6509780883789,52.54580307006836,117.26000213623047,76.0417251586914,43.74464797973633,29.83296775817871,69.27462768554688,39.971405029296875,19.595882415771484,0.47733548283576965,18.520387649536133,64.93330383300781,94.64305877685547,85.25930786132812,23.998964309692383,56.33141326904297
2015-01-12,24.15407371520996,14.570500373840332,13.026679992675781,65.15743255615234,64.23736572265625,52.595272064208984,118.55999755859375,75.78083801269531,43.36867904663086,29.562578201293945,69.12601470947266,39.47165298461914,19.546274185180664,0.47135087847709656,18.588457107543945,64.69586181640625,95.1845703125,84.29755401611328,24.178918838500977,55.24880599975586
2015-01-13,24.368526458740234,14.737000465393066,12.847057342529297,64.76746368408203,63.218101501464844,52.879886627197266,118.16000366210938,75.91127014160156,43.37605667114258,29.55565071105957,68.99219512939453,39.26837921142578,19.62344741821289,0.47063255310058594,18.40126609802246,64.96929168701172,95.1845703125,84.72499084472656,23.98822021484375,55.046993255615234
2015-01-14,24.275667190551758,14.66349983215332,12.526856422424316,64.54251861572266,63.03610610961914,53.01600646972656,117.97000122070312,75.3605728149414,41.87956237792969,29.507123947143555,68.03347778320312,38.92955017089844,19.74472999572754,0.4725476801395416,18.423959732055664,64.74624633789062,95.90665435791016,84.93871307373047,23.263004302978516,54.887943267822266
2015-01-15,23.616825103759766,14.34749984741211,11.870834350585938,63.74867630004883,62.28986358642578,53.67802047729492,120.94000244140625,74.26640319824219,40.53787612915039,29.38232421875,67.91456604003906,38.522987365722656,19.66939353942871,0.4691964089870453,18.37858009338379,64.65272521972656,97.41577911376953,85.86761474609375,23.469833374023438,54.410884857177734
2015-01-16,23.43332290649414,14.536999702453613,12.01141357421875,63.400909423828125,63.77626037597656,54.04303741455078,122.5199966430664,75.38953399658203,41.23084259033203,29.486326217651367,67.9963150024414,39.166717529296875,19.8862247467041,0.4778141975402832,18.60547637939453,65.65279388427734,96.17384338378906,86.94445037841797,23.305984497070312,55.73200988769531
2015-01-20,24.036895751953125,14.472000122070312,11.917693138122559,63.48407745361328,64.59532165527344,54.25339126586914,124.19999694824219,73.39686584472656,41.068660736083984,29.923093795776367,67.48352813720703,39.29377365112305,20.016693115234375,0.4792504608631134,18.775650024414062,65.60962677001953,97.45195770263672,86.82113647460938,23.28450584411621,55.71365737915039
2015-01-21,24.22039222717285,14.862500190734863,12.034841537475586,64.54252624511719,65.6206283569336,54.86591720581055,124.2300033569336,73.83887481689453,41.201351165771484,30.061763763427734,67.14161682128906,38.89567184448242,20.193096160888672,0.4859533905982971,18.514724731445312,65.74295043945312,96.32547760009766,89.86259460449219,23.27106475830078,56.19073486328125
2015-01-22,24.850502014160156,15.515999794006348,12.565903663635254,65.6387710571289,66.08175659179688,54.834957122802734,125.2300033569336,75.18665313720703,42.45458221435547,30.352941513061523,67.55038452148438,39.92057418823242,20.130619049072266,0.49433207511901855,18.611148834228516,66.38782501220703,95.97884368896484,93.58631896972656,23.716938018798828,56.8023567199707
2015-01-23,24.978734970092773,15.619500160217285,12.284753799438477,64.72396850585938,64.82586669921875,54.890647888183594,124.2300033569336,74.0562515258789,41.78373336791992,30.02709197998047,66.56190490722656,39.96292495727539,20.117755889892578,0.4957682490348816,18.406944274902344,65.2719497680664,97.3147201538086,92.06558227539062,23.773344039916992,55.59133529663086
2015-01-26,25.00525665283203,15.482999801635742,12.378473281860352,65.0414810180664,66.05744171142578,54.78547668457031,122.98999786376953,74.09972381591797,41.85007095336914,29.812177658081055,67.38687896728516,39.818939208984375,20.16737174987793,0.4936136305332184,18.60547637939453,64.9096450805664,97.01873016357422,91.7449951171875,23.80556869506836,56.123451232910156
2015-01-27,24.129745483398438,15.337499618530273,12.206658363342285,60.36918258666992,65.6812973022461,54.890647888183594,124.4000015258789,73.97654724121094,41.42987060546875,29.389257431030273,66.5693359375,36.13434982299805,20.4374942779541,0.46991443634033203,18.49203109741211,62.67062759399414,97.17031860351562,90.4297866821289,23.510114669799805,55.62804412841797
